Tick,Project,Traditional,Static
24200,7401.096407214063,608358.296820259,107706.49321002897
24400,7415.9194623996445,712537.967157447,116221.77575415926
24600,9313.180340659397,760691.717181723,101185.62878130906
24800,7384.869439288246,666422.1277645286,103076.18160163966
25000,5508.053287191273,562143.1490956005,90041.19433782776
25200,5503.433502950633,518449.2171412971,77954.8640494598
25400,5498.962338208497,449727.2234303769,53798.55017479599
25600,5498.948250846472,501782.56485073135,47312.903246525864
25800,5502.675157692793,533458.6064416664,69637.08261464926
26000,5501.080975254095,516726.12897887034,66848.88950171824
26200,5496.977679315314,462904.15088716615,59426.47584775816
26400,5504.021509559971,542875.6370031256,78019.41632271784
26600,5504.018070616978,541952.9859767035,91043.67558155366
26800,7422.307055090685,635950.9044199756,104223.49591031617
27000,5529.767399426826,604991.5910328726,118329.87756140846
27200,5531.723012071627,604990.2872911093,123956.51578376658
27400,5532.678366569977,656608.9952635891,129590.27734223593
27600,5532.300216377349,620041.9644448708,124899.79597622386
27800,5533.838382643211,738364.413609988,139934.36761050796
28000,5533.643151044234,705521.7356532917,133368.86656133033
28200,5535.398373251446,775980.1961844199,145579.48593851764
28400,5535.119765656345,716837.6171217461,140888.65942649345
28600,5536.300584574405,756292.4216002498,152161.00726529735
28800,5536.492368701904,784481.5089085363,154984.4347254772
29000,5536.98636508864,819260.5370531798,151236.6179127242
29200,5536.051485859774,815501.6463566979,152175.68338438723
29400,5536.043806212634,839934.259377327,153120.3322553814
29600,5538.592300538949,836201.6858752344,163462.06238564034
29800,5540.405659731885,919932.6634042854,162529.21649432112
30000,5539.457060662491,920871.9088997561,155014.7657623625
30200,5541.44355484609,929350.8091156741,163497.50517735962
30400,5540.913555673207,903966.0951631617,177611.30149792953
30600,5542.041366902107,941610.041059229,181385.87355405156
30800,5540.6892991553905,910571.2955762784,171041.1852418632
31000,5539.340468757451,916232.1483112277,171041.42874850304
31200,5536.606221512819,794093.9202679868,157894.14908653704
31400,5537.537981680347,881531.7775520381,159777.46417599745
31600,5533.504604156347,775423.359863589,138190.71938971456
31800,5533.6925605058495,687237.9169031533,141014.3647243069
32000,5533.705353045982,706013.8476760279,142891.3633931393
32200,5532.432369282149,669435.0984972741,134455.20131621487
32400,5527.863561860184,661004.3162623036,117600.60435260333
32600,5522.6104247825715,700533.7751868956,115801.94730410003
32800,5522.802903201693,641635.5524987655,118623.34626342775
33000,5520.283952739061,593993.322330208,114884.60943326453
33200,5517.839743577846,557582.6894851376,103675.55347395872
33400,5519.668188838754,561352.837411101,108357.34556310863
33600,5514.563796683447,560509.317759717,100896.61817671973
33800,5519.080746067033,575480.672680759,116776.52514361216
34000,5515.8870346092735,582981.363510079,108388.64037886243
34200,5510.2579878442775,507492.8656619851,86957.06838318337
34400,7428.64727089052,614027.4819936899,118965.71578839209
34600,9338.382763492395,653795.9601369652,97293.50315678061
34800,9340.209116880418,708651.3537165564,101089.22833285537
35000,9333.410707681556,690714.0036239529,94489.34786419207
35200,9343.980458498569,755070.2589780426,110569.8277983587
35400,9339.758378841143,752234.5683242971,109655.90037909211
35600,10272.311909214812,658938.7184617631,112528.88829357942
35800,8357.211900940165,638242.8302718657,108788.8902632667
36000,6454.902752913753,526763.2240096376,94777.01022668793
36200,6452.589149391017,517425.58802948066,85435.2685780124
36400,6452.953160910867,546395.487346369,88241.45546655894
36600,6452.040254957043,546393.4333079729,87307.55577416137
36800,6449.855370457823,523044.79384752165,74235.81053551694
37000,6448.110703174971,528674.7534691356,64905.3830722697
37200,6448.456215457336,504411.62133776513,72379.1323233638
37400,6454.822349572976,568921.1387143072,91076.71127655321
37600,6461.254546582306,676638.8210424018,106995.55437309266
