Tick,Project,Traditional,Static
30800,-2827.1070947040425,-677758.6149385306,-104120.35716482218
31000,-2825.7582643061032,-683419.4676734799,-104120.60067146206
31200,-2823.0240170614707,-561281.2396302391,-90973.32100949605
31400,-2823.955777228999,-648719.0969142903,-92856.63609895646
31600,-2819.9223997049994,-542610.6792258413,-71269.89131267357
31800,-2820.1103560545016,-454425.23626540555,-74093.53664726591
32000,-2820.1231485946337,-473201.16703828017,-75970.5353160983
32200,-2818.850164830801,-436622.4178595263,-67534.37323917389
32400,-2814.281357408836,-428191.6356245559,-50679.77627556234
32600,-2809.0282203312236,-467721.0945491479,-48881.11922705903
32800,-2809.220698750345,-408822.8718610177,-51702.51818638676
33000,-2806.7017482877127,-361180.6416924602,-47963.78135622353
33200,-2804.257539126498,-324770.00884738984,-36754.72539691773
33400,-2806.085984387406,-328540.1567733533,-41436.51748606763
33600,-2800.9815922320995,-327696.63712196925,-33975.790099678736
33800,-2805.498541615685,-342667.99204301124,-49855.69706657117
34000,-2802.3048301579256,-350168.68287233124,-41467.81230182144
34200,-2796.6757833929296,-274680.1850242374,-20036.240306142383
34400,-4715.065066439172,-381214.80135594215,-52044.8877113511
34600,-6624.800559041047,-420983.27949921734,-30372.675079739623
34800,-6626.62691242907,-475838.6730788087,-34168.400255814384
35000,-6619.828503230208,-457901.3229862051,-27568.519787151075
35200,-6630.398254047221,-522257.5783402949,-43648.99972131771
35400,-6626.176174389795,-519421.88768654934,-42735.07230205112
35600,-7558.729704763464,-426126.03782401537,-45608.060216538426
35800,-5643.629696488817,-405430.149634118,-41868.06218622571
36000,-3741.320548462405,-293950.54337188986,-27856.182149646935
36200,-3739.0069449396688,-284612.9073917329,-18514.44050097141
36400,-3739.370956459519,-313582.8067086212,-21320.627389517947
36600,-3738.4580505056947,-313580.7526702251,-20386.727697120383
36800,-3736.2731660064746,-290232.1132097739,-7314.982458475948
37000,-3734.5284987236228,-295862.0728313878,2015.445004771289
37200,-3734.874011005988,-271598.9407000174,-5458.304246322805
37400,-3741.2401451216283,-336108.4580765594,-24155.883199512216
37600,-3747.672342130958,-443826.1404046541,-40074.72629605166
37800,-3756.0643007142935,-526408.837561998,-67278.05198049612
38000,-3767.6636635086325,-569666.0499433593,-104873.82821339845
38200,-3772.336883368451,-694927.4259922823,-111470.29844778287
38400,-2817.00575724832,-684683.1722644707,-106765.89957775662
38600,-2824.4396674502495,-636985.7573183437,-99301.78199093684
38800,-2816.914791437157,-692533.7121634322,-70217.39098994253
39000,-2814.1121496584237,-686906.9478185918,-71167.65372966076
39200,-2815.3561698358826,-677541.6864683203,-78676.64492851272
39400,-2816.8594049014064,-722559.7183046998,-86182.58965840215
39600,-2814.681478148472,-689763.673857497,-73061.65053486874
39800,-2814.607673729988,-673843.5718003307,-74945.10579687943
40000,-2813.2119980845164,-658890.0351158852,-65579.06157564293
40200,-2811.361161559267,-627994.0742247276,-57152.40622323546
40400,-2811.4086234937713,-624251.2969661005,-52473.30698229224
40600,-2809.8793270652677,-581222.7847400183,-47797.466273202575
40800,-2806.568022011328,-595333.1308456359,-33779.423212264606
41000,-2806.935033766902,-532749.9982884792,-40333.81755572348
41200,-2809.3892353879346,-544926.0731150324,-44096.93960812283
41400,-2810.5594950194063,-553350.4211573404,-52523.09289589284
41600,-2810.026095134497,-563659.7699050865,-47844.133826925674
41800,-2810.336707277267,-506583.82172352314,-55338.80278319939
42000,-2812.588053178857,-559973.4243037887,-66578.09360159875
42200,-2811.3730939239904,-546863.3830128058,-60023.63882456575
42400,-2810.756624066358,-526270.3242240818,-56281.81019797087
42600,-2811.6882154515188,-530949.4494580004,-60027.829806464426
42800,-2813.1600056227617,-607778.9635727357,-64709.4200954499
43000,-2816.9414772233577,-692176.829387004,-83461.9159968395
43200,-2823.339726785154,-806800.5430456079,-112586.80546591418
43400,-2824.37964755157,-810562.5920455368,-106948.22920219871
43600,-2827.344609934531,-819980.9048636068,-115417.91228680346
43800,-2825.181731613906,-803048.8529979936,-102251.14209090604
44000,-2825.717108130819,-709043.4317184503,-113537.25138885743
44200,-2822.446505157335,-702508.7157631966,-101325.94044308529
44400,-2822.985709979912,-643331.8435175776,-106032.38678377146
44600,-2823.6815236129914,-639571.0310556415,-106032.31323371423
44800,-2808.8449858840177,-695295.3000433679,-110783.57326025068
45000,-2803.9064272170654,-641088.1817884643,-99576.76236076538
45200,-2818.149944834877,-742462.0824964143,-114588.64809031397
45400,-2817.9907463980344,-742461.9763641232,-116465.62946980173
45600,-2814.12797327507,-712612.2611567831,-89322.22474552729
45800,-2814.002234893589,-703249.5940511521,-91207.81812963256
46000,-2815.4616681569896,-703246.1340837809,-105270.5290524878
46200,-2815.369184779076,-630201.8802621198,-113708.70881575847
46400,-2807.0859240220598,-556329.4061596141,-96875.3866733493
46600,-2806.9747496213095,-522712.6581917182,-103434.84718769269
46800,-2803.787351318766,-504041.1104015313,-83819.96380692815
47000,-2807.0776309203793,-593841.2637920209,-93171.06510594852
47200,-2808.124086975411,-595714.7095540182,-99717.2894003542
47400,-2807.19817876062,-563927.2882812201,-90370.55557887572
47600,-2805.7266240494064,-531222.6102895665,-88499.04325121321
47800,-2805.5033036443056,-537775.3192156219,-76351.65468984933
48000,-2808.8585555612517,-587398.5996615114,-98826.65098927458
48200,-2813.2243545932433,-656761.1357858056,-108204.70453711852
48400,-2812.2580866160133,-644582.8606143415,-100715.357385529
48600,-2814.063107114416,-694257.3896873819,-103528.45299526629
48800,-2815.4357096490567,-726141.3787361989,-111972.07080636984
49000,-2815.7671157832665,-734580.4818648156,-112910.3159366857
49200,-2814.8575622774806,-734579.2691268079,-111033.40496459686
49400,-2813.430352010444,-669028.0794132573,-107283.7274035199
49600,-2828.704516198326,-703349.8452730387,-120523.06512679411
49800,-2817.1510572822444,-700523.1977227152,-123328.62182817544
50000,-2816.63042787234,-663005.7720414165,-121456.13402340846
